iter	Passed	Remaining
407	5106	7410
408	5118	7396
409	5128	7380
410	5139	7365
411	5152	7353
412	5165	7342
413	5179	7331
414	5192	7320
415	5206	7309
416	5221	7299
417	5234	7287
418	5245	7274
419	5257	7260
420	5271	7249
421	5283	7237
422	5295	7222
423	5306	7208
424	5318	7195
425	5330	7182
426	5341	7167
427	5354	7155
428	5366	7142
429	5379	7130
430	5390	7116
431	5402	7103
432	5416	7092
433	5430	7082
434	5441	7067
435	5452	7053
436	5464	7040
437	5474	7024
438	5487	7012
439	5498	6997
440	5509	6983
441	5520	6968
442	5530	6953
443	5541	6939
444	5552	6925
445	5563	6911
446	5576	6898
447	5588	6886
448	5598	6870
449	5609	6855
450	5620	6841
451	5629	6825
452	5640	6810
453	5651	6796
454	5662	6782
455	5676	6772
456	5688	6758
457	5698	6743
458	5709	6729
459	5720	6715
460	5734	6704
461	5747	6692
462	5762	6683
463	5777	6673
464	5790	6661
465	5802	6649
466	5814	6635
467	5827	6624
468	5840	6612
469	5851	6598
470	5861	6583
471	5872	6569
472	5884	6556
473	5895	6542
474	5906	6528
475	5918	6515
476	5927	6499
477	5938	6484
478	5950	6472
479	5961	6457
480	5973	6444
481	5984	6431
482	5996	6419
483	6007	6404
484	6018	6390
485	6028	6376
486	6039	6361
487	6050	6348
488	6061	6334
489	6071	6319
490	6083	6306
491	6093	6291
492	6105	6279
493	6116	6265
494	6127	6250
495	6137	6236
496	6149	6223
497	6160	6210
498	6172	6197
499	6183	6183
500	6196	6171
501	6207	6157
502	6218	6144
503	6230	6131
504	6239	6116
505	6251	6103
506	6262	6089
507	6272	6074
508	6283	6061
509	6295	6048
510	6305	6034
511	6317	6021
512	6328	6007
513	6338	5992
514	6350	5980
515	6362	5967
516	6371	5952
517	6382	5938
518	6396	5927
519	6409	5916
520	6419	5901
521	6429	5887
522	6441	5874
523	6451	5860
524	6462	5847
525	6473	5833
526	6483	5819
527	6494	5805
528	6503	5790
529	6515	5778
530	6527	5765
531	6538	5751
532	6549	5738
533	6560	5725
534	6572	5712
535	6582	5697
536	6593	5684
537	6603	5671
538	6615	5657
539	6626	5644
540	6637	5631
541	6648	5618
542	6659	5604
543	6670	5591
544	6680	5577
545	6693	5565
546	6705	5553
547	6716	5539
548	6727	5526
549	6738	5513
550	6748	5499
551	6759	5486
552	6770	5473
553	6781	5459
554	6794	5447
555	6805	5434
556	6815	5420
557	6830	5410
558	6844	5399
559	6857	5387
560	6868	5375
561	6879	5361
562	6890	5348
563	6901	5335
564	6911	5321
565	6923	5308
566	6934	5295
567	6945	5282
568	6956	5269
569	6967	5256
570	6977	5242
571	6991	5231
572	7003	5218
573	7012	5204
574	7023	5191
575	7034	5178
576	7045	5165
577	7056	5152
578	7068	5139
579	7078	5125
580	7089	5113
581	7100	5099
582	7110	5085
583	7121	5072
584	7132	5060
585	7146	5049
586	7157	5035
587	7171	5024
588	7183	5012
589	7192	4998
590	7202	4984
591	7213	4971
592	7223	4957
593	7234	4945
594	7247	4933
595	7257	4919
596	7269	4906
597	7281	4894
598	7291	4881
599	7302	4868
600	7313	4855
601	7323	4841
602	7335	4829
603	7346	4816
604	7358	4804
605	7369	4791
606	7381	4779
607	7391	4765
608	7401	4752
609	7413	4740
610	7423	4726
611	7435	4714
612	7447	4701
613	7459	4689
614	7470	4676
615	7481	4664
616	7491	4650
617	7501	4637
618	7513	4624
619	7523	4611
620	7534	4598
621	7544	4585
622	7556	4572
623	7567	4559
624	7580	4548
625	7589	4534
626	7602	4522
627	7613	4510
628	7625	4497
629	7636	4484
630	7647	4472
631	7658	4459
632	7670	4447
633	7681	4434
634	7691	4421
635	7701	4407
636	7713	4395
637	7726	4383
638	7735	4370
639	7747	4357
640	7757	4344
641	7770	4332
642	7780	4319
643	7790	4306
644	7801	4293
645	7812	4281
646	7823	4268
647	7833	4255
648	7844	4242
649	7854	4229
650	7865	4216
651	7877	4204
652	7890	4193
653	7902	4180
654	7915	4169
655	7929	4158
656	7947	4148
657	7966	4140
658	7988	4133
659	8006	4124
660	8024	4115
661	8039	4104
662	8052	4093
663	8065	4081
664	8078	4069
665	8090	4057
666	8103	4045
667	8113	4032
668	8124	4019
669	8135	4006
670	8145	3993
671	8157	3981
672	8170	3970
673	8181	3957
674	8196	3946
675	8207	3933
676	8217	3920
677	8227	3907
678	8239	3895
679	8249	3881
680	8260	3869
681	8271	3856
682	8282	3844
683	8293	3831
684	8306	3819
685	8316	3806
686	8327	3793
687	8338	3781
688	8348	3768
689	8358	3755
690	8370	3742
691	8380	3729
692	8390	3716
693	8401	3704
694	8412	3691
695	8423	3679
696	8433	3666
697	8443	3653
698	8455	3641
699	8466	3628
700	8476	3615
701	8486	3602
702	8497	3589
703	8507	3576
704	8518	3564
705	8529	3552
706	8540	3539
707	8551	3526
708	8561	3513
709	8572	3501
710	8583	3488
711	8593	3476
712	8605	3463
713	8617	3451
714	8628	3439
715	8639	3426
716	8650	3414
717	8660	3401
718	8670	3388
719	8681	3375
720	8691	3363
721	8702	3350
722	8713	3338
723	8725	3326
724	8736	3314
725	8750	3302
726	8760	3289
727	8771	3277
728	8782	3264
729	8791	3251
730	8802	3239
731	8813	3226
732	8823	3214
733	8835	3201
734	8847	3189
735	8861	3178
736	8872	3166
737	8882	3153
738	8895	3141
739	8905	3129
740	8917	3117
741	8929	3104
742	8940	3092
743	8951	3079
744	8961	3067
745	8971	3054
746	8982	3042
747	8993	3029
748	9003	3017
749	9015	3005
750	9026	2992
751	9036	2980
752	9050	2968
753	9061	2956
754	9071	2943
755	9082	2931
