iter	Logloss
0	0.692232964
1	0.691457378
2	0.6906019808
3	0.6898271852
4	0.6890131716
5	0.6883014807
6	0.6876298364
7	0.6870484752
8	0.6864213877
9	0.6858663653
10	0.6854520292
11	0.6849924309
12	0.6845629282
13	0.6841906268
14	0.6838541701
15	0.683397853
16	0.6830088613
17	0.6826608234
18	0.6823554928
19	0.681874712
20	0.6815186942
21	0.6812141667
22	0.6809300918
23	0.6806032583
24	0.6802844518
25	0.6800187751
26	0.6796788861
27	0.6794847178
28	0.6792704831
29	0.6790673708
30	0.6788319088
31	0.6785564894
32	0.6783001111
33	0.6779918643
34	0.6777195427
35	0.6775414403
36	0.6773095408
37	0.6771336259
38	0.676996324
39	0.6767750043
40	0.6766090539
41	0.6763490076
42	0.6761369038
43	0.6758041777
44	0.6756645545
45	0.6754720964
46	0.6752703322
47	0.675157846
48	0.675063593
49	0.6748611238
50	0.674754251
51	0.6744933044
52	0.6742681135
53	0.6740604142
54	0.6738369811
55	0.6737302589
56	0.6734716852
57	0.67330272
58	0.6730902102
59	0.6729454339
60	0.6727082784
61	0.6725664013
62	0.6724074901
63	0.6722335357
64	0.6720148699
65	0.6717177184
66	0.6715448701
67	0.671388711
68	0.6712540001
69	0.6710695535
70	0.670930282
71	0.6707186141
72	0.6706184762
73	0.6704812435
74	0.6702969314
75	0.6701189935
76	0.6699722074
77	0.669872423
78	0.6696967305
79	0.6695475569
80	0.669362958
81	0.6691680732
82	0.6689790841
83	0.6687839531
84	0.6686377984
85	0.6684440347
86	0.6683485543
87	0.6681805435
88	0.6680651385
89	0.6678905592
90	0.6677548974
91	0.667563689
92	0.66742219
93	0.6672165377
94	0.6670937054
95	0.6669569227
96	0.6668568905
97	0.6667193125
98	0.6666052828
99	0.6665418529
100	0.6663948086
101	0.666314174
102	0.6661894833
103	0.6660015357
104	0.6658536008
105	0.6656704325
106	0.6654726121
107	0.6652538965
108	0.6651457702
109	0.6650254406
110	0.6648705986
111	0.6647254046
112	0.6646134317
113	0.6645024839
114	0.6643813015
115	0.66420956
116	0.6640932946
117	0.6640016875
118	0.6638699243
119	0.663684084
120	0.6635282552
121	0.6634048158
122	0.6632756519
123	0.6631590049
124	0.6630306491
125	0.6628951682
126	0.6627794927
127	0.6626302717
128	0.6624411596
129	0.6623537798
130	0.6622274567
131	0.6620949684
132	0.6620377544
133	0.6618422413
134	0.6615934523
135	0.6614525855
136	0.6611727456
137	0.6610166015
138	0.6609099625
139	0.6607328453
140	0.6606033737
141	0.6604367104
142	0.6602982579
143	0.6601217947
144	0.6600450613
145	0.6599358352
146	0.6598049566
147	0.6597241602
148	0.6595562767
149	0.65938769
150	0.6593079803
151	0.6591812093
152	0.6590493816
153	0.6589513524
154	0.6588065478
155	0.6586600389
156	0.6584943932
157	0.6582958598
158	0.6581886997
159	0.6580709805
160	0.6580163311
161	0.6578847889
162	0.657769909
163	0.6575929352
164	0.6573883737
165	0.6572395928
166	0.6571151471
167	0.6569691435
168	0.6568494113
169	0.6567129873
170	0.6565859012
171	0.6564299613
172	0.6562892272
173	0.656185829
174	0.6560602321
175	0.6559624972
176	0.6558420898
177	0.6556736084
178	0.655543849
179	0.6554434039
180	0.6553447542
181	0.6551632975
182	0.6549960666
183	0.6547819457
184	0.6546169397
185	0.6545261409
186	0.6543622347
187	0.65424382
188	0.6541336511
189	0.6540240856
190	0.6539002507
191	0.6537603224
192	0.653561903
193	0.6534028705
194	0.6533162562
195	0.653177632
196	0.6529990033
197	0.6529048688
198	0.6528004939
199	0.652675736
200	0.6524815534
201	0.6523846812
202	0.6522344877
203	0.6521160147
204	0.6520069777
205	0.6518975223
206	0.6517534066
207	0.6515937671
208	0.6514547764
209	0.6513871875
210	0.6512431441
211	0.651125087
212	0.6510100528
213	0.6509215012
214	0.6507920095
215	0.6507076826
216	0.6506283494
217	0.6504918751
218	0.6503758691
219	0.6503096282
220	0.6501012655
221	0.6499793738
222	0.6498870379
223	0.6497760735
224	0.6496194172
225	0.6493997826
226	0.6492996585
227	0.6491892455
228	0.6490799793
229	0.6489390002
230	0.6488100971
231	0.6486492594
232	0.6485245124
233	0.6484347884
234	0.6483171443
235	0.6481921289
236	0.6480303195
237	0.647865435
238	0.6477183737
239	0.6475391399
240	0.6473392951
241	0.6470987466
242	0.6469187021
243	0.6467839846
244	0.6466257667
245	0.6464418832
246	0.6462611346
247	0.6461288817
248	0.6459780033
249	0.6458469375
250	0.6457756913
251	0.6456171051
252	0.645475195
253	0.645345431
254	0.6451969444
255	0.6449845283
256	0.644884038
257	0.6446702561
258	0.6444933064
259	0.6443400702
260	0.6442135926
261	0.644053528
262	0.6438865963
263	0.6437647831
264	0.6436125969
265	0.6434640756
266	0.6433891542
267	0.6432206733
268	0.6431320996
269	0.6429776738
270	0.6427911077
271	0.6426117069
272	0.6424660952
273	0.6423444503
274	0.642163673
275	0.6420074536
276	0.6418443934
277	0.641667975
278	0.6415085379
279	0.6413200505
280	0.6412068447
281	0.6410578857
282	0.6408656842
283	0.6406924274
284	0.6405619623
285	0.6403637053
286	0.6402478354
287	0.6400697797
288	0.639832057
289	0.6396319858
290	0.6395146648
291	0.6393603994
292	0.639220659
293	0.6390115001
294	0.6388966537
295	0.6387969325
296	0.638658885
297	0.6384890148
298	0.6383454201
299	0.6381941793
300	0.6380655469
301	0.6379113419
302	0.6377662844
303	0.6375963726
304	0.63745201
305	0.6372836061
306	0.6372123608
307	0.6370697876
308	0.6369514282
309	0.6368189224
310	0.636688564
311	0.6365211845
312	0.6363361224
313	0.6361764323
314	0.6359804231
315	0.635827373
316	0.6357155609
317	0.6355596647
318	0.635426021
319	0.6353016581
320	0.6351470726
321	0.6350292785
322	0.6348951273
323	0.634741431
324	0.6345738654
325	0.634398234
326	0.6342030041
327	0.634060723
328	0.6338851555
329	0.6337442409
330	0.6335498846
331	0.6333121442
332	0.6332126048
333	0.6330725829
334	0.6328763818
335	0.6327205002
336	0.632569928
337	0.6324227912
338	0.6323036375
339	0.6320577007
340	0.6319597833
341	0.6318567618
342	0.6317412594
343	0.6315924488
344	0.6314425534
345	0.6313098878
346	0.6311421314
347	0.6309739682
348	0.630738689
349	0.6306042929
350	0.6304584837
351	0.6303266416
352	0.6302012957
353	0.6301124681
354	0.6299984688
355	0.6298793672
356	0.6296471936
357	0.6294915953
358	0.6292930631
359	0.62915241
360	0.628931094
361	0.628780946
362	0.6286125228
363	0.6284855366
364	0.6283506133
365	0.6282372295
366	0.6281129994
367	0.6279962176
368	0.6278869734
369	0.627707722
370	0.6274898048
371	0.6273767421
372	0.6272676368
373	0.6271143829
374	0.6269803769
375	0.6268732722
376	0.6267666479
377	0.6266646096
378	0.6264503892
379	0.626300346
380	0.6261729679
381	0.6260131778
382	0.6257542051
383	0.6255159514
384	0.6253044512
385	0.625150337
386	0.625006428
387	0.6248832643
388	0.6246651159
389	0.6245383439
390	0.6243705417
391	0.6242600572
392	0.6240972997
393	0.6239513457
394	0.6238049783
395	0.6235962094
396	0.6234826143
397	0.6233595376
398	0.6232552873
399	0.6231549599
400	0.6229947235
401	0.6228903077
402	0.6227212964
403	0.6226091276
404	0.6224941689
405	0.6223722147
406	0.6222215685
407	0.6220908471
408	0.6219992258
409	0.6218803685
410	0.6217799368
411	0.6216852895
412	0.6215365264
413	0.6213537911
414	0.6212492207
415	0.6211133171
416	0.6210264721
417	0.6208026408
418	0.620665512
419	0.6204677193
420	0.6203067936
421	0.6201277511
422	0.6199830612
423	0.6198931296
424	0.6197369506
425	0.6196225064
426	0.6195341805
427	0.6194209122
428	0.619349848
429	0.6191334265
430	0.618998809
431	0.6188862631
432	0.6187624609
433	0.6186639902
434	0.6185922706
435	0.6183647956
436	0.6182927629
437	0.618122792
438	0.6180112289
439	0.617895999
440	0.6177920908
441	0.6176330734
442	0.6175003418
443	0.6173779398
444	0.6172973873
445	0.6171652906
446	0.61700449
447	0.6168328771
448	0.6167106322
449	0.6165997232
450	0.6163985795
451	0.6162855508
452	0.6161875509
453	0.6160603302
454	0.6159256334
455	0.6156974768
456	0.6155451419
457	0.6154155276
458	0.6152940133
459	0.6151646687
460	0.615066015
461	0.6148553672
462	0.6147179928
463	0.6145175821
464	0.6143579897
465	0.6142382033
466	0.6141015766
467	0.6139816462
468	0.6138695131
469	0.6137764016
470	0.6136429671
471	0.613458717
472	0.6133226655
473	0.6132014457
474	0.6131120387
475	0.612991346
476	0.6128549497
477	0.6127712762
478	0.6126681873
479	0.6125702862
480	0.6124023033
481	0.6123142074
482	0.612136418
483	0.6119468642
484	0.6117919799
485	0.6117204892
486	0.6115778712
487	0.6114130479
488	0.6113543281
489	0.6111591133
490	0.6109826553
491	0.6108610673
492	0.6106656871
493	0.6105307847
494	0.6104561566
495	0.6103385999
496	0.6101291917
497	0.610030104
498	0.6099388864
499	0.6098134157
500	0.6096488269
501	0.6095054417
502	0.6093318707
503	0.6091841483
504	0.6090836286
505	0.6089197786
506	0.6087952561
507	0.6086863776
508	0.6084927996
509	0.6083651862
510	0.6082243672
511	0.6080660057
512	0.6079279526
513	0.6077791798
514	0.607575432
515	0.6074825703
516	0.6073583862
517	0.607251449
518	0.6071194529
519	0.6070296464
520	0.6069428087
521	0.6068101183
522	0.6066292305
523	0.6064289321
524	0.6062752563
525	0.6061535934
526	0.6060587518
527	0.6059396813
528	0.6058363927
529	0.6056936382
530	0.6055679747
531	0.6054480692
532	0.6053533525
533	0.6052049822
534	0.6050747999
535	0.6049866414
536	0.6048764964
537	0.6047050346
538	0.6045618376
539	0.6044267509
540	0.6042702336
541	0.6041180847
542	0.6040399392
543	0.6039299544
544	0.6037495302
545	0.6036079433
546	0.603520533
547	0.603381272
548	0.6032131774
549	0.6030879026
550	0.60292395
551	0.6028547553
552	0.6026939308
553	0.6025639666
554	0.6023699131
555	0.6022583369
556	0.6021695968
557	0.6020383435
558	0.601914691
559	0.6017371631
560	0.6016536551
561	0.6015887441
562	0.6014853534
563	0.6013811564
564	0.6012850191
565	0.6011883258
566	0.6010916771
567	0.6009321454
568	0.6008474417
569	0.6007052571
570	0.6005971075
571	0.6004639948
572	0.600323842
573	0.600259636
574	0.6001260222
