Date,Close,High,Low,Open,Volume,ticker
2007-01-03,2.521843671798706,2.60550419175522,2.464665926439555,2.5967770484548547,1238319600,AAPL
2007-01-04,2.5778183937072754,2.586545336603662,2.5224454990574565,2.5293675880178133,847260400,AAPL
2007-01-05,2.5594606399536133,2.5940680681224384,2.5399001555192484,2.5811279255327633,834741600,AAPL
2007-01-08,2.5721004009246826,2.6039995484257963,2.56638228426731,2.5868462029361052,797106800,AAPL
2007-01-09,2.7857630252838135,2.7981014774673016,2.5624685212234124,2.6015906779765614,3349298400,AAPL
2007-01-10,2.9190785884857178,2.9431530073867846,2.81224610708387,2.8513680673921025,2952880000,AAPL
2007-01-11,2.8829667568206787,2.912458552888738,2.8619013603975723,2.887179956643155,1440252800,AAPL
2007-01-12,2.847456216812134,2.86069709887025,2.805625966309519,2.846552785617375,1312690400,AAPL
2007-01-16,2.9220893383026123,2.9266032822635686,2.8724355529390504,2.8793568399274725,1244076400,AAPL
2007-01-17,2.857386589050293,2.9371346340396594,2.8534751356935577,2.9359314653620276,1646260000,AAPL
2007-01-18,2.680436849594116,2.77192188793065,2.6798351646648744,2.771620945017794,2364605600,AAPL
2007-01-19,2.6632823944091797,2.6978906140549195,2.651847171180072,2.6671948515407635,1364473600,AAPL
2007-01-22,2.611823797225952,2.683145859189414,2.577517310656742,2.6825433706920983,1454026000,AAPL
2007-01-23,2.5790202617645264,2.6334896974879474,2.5733031527481907,2.5799234918628273,1207424400,AAPL
2007-01-24,2.609114408493042,2.622656028815477,2.5904561586718664,2.608511920296932,927813600,AAPL
2007-01-25,2.5955729484558105,2.663283290313103,2.5889524058040054,2.621453233285917,905973600,AAPL
2007-01-26,2.5693917274475098,2.62927775525517,2.557654954763125,2.6214532401322463,986874000,AAPL
2007-01-29,2.586244583129883,2.6076109276887234,2.5739059234513078,2.5970781264205605,901664400,AAPL
2007-01-30,2.5745065212249756,2.6027949427678347,2.5654786392605478,2.6009892860163935,577970400,AAPL
2007-01-31,2.5799241065979004,2.5880495632839775,2.5383947982325283,2.553742280394741,856069200,AAPL
2007-02-01,2.55013108253479,2.596173520238309,2.55013108253479,2.594970351796193,664342000,AAPL
2007-02-02,2.5504324436187744,2.565478982538275,2.5188340489296484,2.5314734469845823,621530000,AAPL
2007-02-05,2.526057004928589,2.5648782397024275,2.526057004928589,2.5368905482240454,578852400,AAPL
2007-02-06,2.532376289367676,2.5420066624744795,2.4935558630233827,2.5414041740219835,864393600,AAPL
2007-02-07,2.592562675476074,2.5994839567938777,2.5143193701200364,2.542306241720617,1066825200,AAPL
2007-02-08,2.5934665203094482,2.603397636290756,2.5702945190424673,2.5708960030665806,679030800,AAPL
2007-02-09,2.5058934688568115,2.5940670915457216,2.504087812180869,2.584437525296505,860540800,AAPL
2007-02-12,2.554344892501831,2.5633727763530674,2.516727638340711,2.5408022631392497,724071600,AAPL
2007-02-13,2.5489280223846436,2.5666828493370795,2.536890306765485,2.5627713953466755,580986000,AAPL
2007-02-14,2.566983699798584,2.577214951718506,2.5450148747425994,2.5468207324929173,507981600,AAPL
2007-02-15,2.564275026321411,2.5766134816211963,2.5513348862499363,2.5711971132974827,363661200,AAPL
2007-02-16,2.552839517593384,2.5702935973393957,2.547723088190276,2.5654787134260815,399868000,AAPL
2007-02-20,2.5850393772125244,2.592863889981194,2.53267633470417,2.54742233094873,617702400,AAPL
2007-02-21,2.6843490600585938,2.6930760025843754,2.5868459687726144,2.587447653691231,1155313600,AAPL
2007-02-22,2.6936774253845215,2.7327985816121307,2.66418583569909,2.732497839720039,838224800,AAPL
2007-02-23,2.680436849594116,2.718656398630389,2.6738163064077494,2.683145938499234,517893600,AAPL
2007-02-26,2.663583517074585,2.7084235936210708,2.636499869764827,2.7036079060095304,615848800,AAPL
2007-02-27,2.525754928588867,2.620549695712493,2.510106707402467,2.597076962140124,1145813200,AAPL
2007-02-28,2.5462193489074707,2.576011886934991,2.497768756308966,2.497768756308966,919475200,AAPL
2007-03-01,2.6199493408203125,2.6575664014526716,2.5203388435421723,2.5287650442305876,1415528800,AAPL
